location,rep,k_rate_kgha,k_pct
macon,1,0,0.8140000000000001
macon,2,0,0.902
macon,3,0,1.1550000000000002
macon,4,0,1.1550000000000002
macon,1,56,0.6649999999999999
macon,2,56,0.819
macon,3,56,0.875
macon,4,56,1.043
macon,1,112,1.21
macon,2,112,1.71
macon,3,112,1.25
macon,4,112,1.53
macon,1,168,1.016
macon,2,168,1.584
macon,3,168,1.3920000000000001
macon,4,168,1.4320000000000002
midville,1,0,1.17
midville,2,0,1.22
midville,3,0,1.32
midville,4,0,1.14
midville,1,56,1.6
midville,2,56,1.28
midville,3,56,1.3
midville,4,56,1.34
midville,1,112,1.85
midville,2,112,1.74
midville,3,112,1.5
midville,4,112,1.19
midville,1,168,1.94
midville,2,168,1.56
midville,3,168,1.47
midville,4,168,1.51
tifton,1,0,2.63
tifton,2,0,2.76
tifton,3,0,2.79
tifton,4,0,2.67
tifton,1,56,2.48
tifton,2,56,2.87
tifton,3,56,3.04
tifton,4,56,2.67
tifton,1,112,2.83
tifton,2,112,3.17
tifton,3,112,2.95
tifton,4,112,2.79
tifton,1,168,2.94
tifton,2,168,2.84
tifton,3,168,2.76
tifton,4,168,3.01
watkinsville,1,0,3.21
watkinsville,2,0,2.9
watkinsville,3,0,3.33
watkinsville,4,0,3.13
watkinsville,1,56,3.24
watkinsville,2,56,3.28
watkinsville,3,56,3.11
watkinsville,4,56,3.35
watkinsville,1,112,3.13
watkinsville,2,112,3.1
watkinsville,3,112,3.16
watkinsville,4,112,2.95
watkinsville,1,168,3.05
watkinsville,2,168,3.2
watkinsville,3,168,3
watkinsville,4,168,3.21
